date,link,titles,news_date,category
https://www.nytimes.com/issue/todayspaper/2019/04/02/todays-new-york-times,/2019/04/02/nyregion/suny-new-paltz-slave-owners.html,Slave Owners’ Names Are on Dorms at a SUNY School. That’s Changing.,2019/04/02,nyregion
https://www.nytimes.com/issue/todayspaper/2019/04/02/todays-new-york-times,/2019/04/01/us/politics/us-china-trade-trump.html,China Purchases Could Undercut Trump’s Larger Trade Goal,2019/04/02,us
https://www.nytimes.com/issue/todayspaper/2019/04/02/todays-new-york-times,/2019/04/01/technology/burger-king-impossible-whopper.html,Behold the Beefless ‘Impossible Whopper’,2019/04/02,technology
https://www.nytimes.com/issue/todayspaper/2019/04/02/todays-new-york-times,/2019/04/01/arts/television/jane-the-virgin-crazy-ex-girlfriend-final-season.html,"As ‘Jane the Virgin’ and ‘Crazy Ex-Girlfriend’ End, Two Groundbreaking TV Characters Say Goodbye",2019/04/02,arts
https://www.nytimes.com/issue/todayspaper/2019/04/02/todays-new-york-times,/2019/04/01/sports/santa-anita-horse-deaths.html,Death of Another Horse at Santa Anita Rocks the Racing Industry,2019/04/02,sports
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/02/us/politics/obamacare-donald-trump.html,Trump Retreats on Health Care After McConnell Warns It Won’t Happen,2019/04/03,us
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/02/world/europe/theresa-may-labour-brexit.html,Theresa May Will Reach Out to Corbyn in Bid to Avoid Disorderly Brexit,2019/04/03,world
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/02/us/arctic-oil-drilling-well-data.html,A Key to the Arctic’s Oil Riches Lies Hidden in Ohio,2019/04/03,us
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/02/us/politics/joe-biden-women-me-too.html,Biden’s Tactile Politics Threaten His Return in the #MeToo Era,2019/04/03,us
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/02/us/chicago-election-results.html,"Lori Lightfoot Is Elected Chicago Mayor, Becoming First Black Woman to Lead City",2019/04/03,us
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/02/us/virginia-scandal-northam-fairfax.html,‘It Just Went Poof’: The Strange Aftermath of Virginia’s Cascade of Political Scandals,2019/04/03,us
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/02/technology/for-him-for-hers-get-roman.html,Drug Sites Upend Doctor-Patient Relations: ‘It’s Restaurant-Menu Medicine’,2019/04/03,technology
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/02/world/asia/boeing-max-8-lion-air.html,"Between Two Boeing Crashes, Days of Silence and Mistrust",2019/04/03,world
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/02/nyregion/mta-cuomo-congestion-pricing.html,Cuomo Promised Transparency at the M.T.A. Then Its Leader Was Confirmed While You Slept.,2019/04/03,nyregion
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/02/nyregion/bowery-savings-bank-records.html,Spared From the Shredder (for Now): ‘Priceless’ Bank Records of Old New York,2019/04/03,nyregion
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/02/business/media/media-companies-take-a-big-gamble-on-apple.html,Media Companies Take a Big Gamble on Apple,2019/04/03,business
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/03/business/economy/japan-economy-china-abenomics.html,Japan Stumbles as China’s Growth Engine Slows,2019/04/03,business
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/02/us/mar-a-lago-zhang-chinese-secret-service.html,Woman From China Carrying Malware Arrested After Entering Mar-a-Lago,2019/04/03,us
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/02/us/trump-puerto-rico.html,"Trump Lashes Out Again at Puerto Rico, Bewildering the Island",2019/04/03,us
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/02/us/bald-eagles-trash-seattle.html,"Bald Eagles, Symbol of America, Are Dumping Trash on the Seattle Suburbs",2019/04/03,us
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/01/arts/television/hannah-gadsby-australia.html,Hannah Gadsby on Autism and the Risk of Failing After ‘Nanette’,2019/04/03,arts
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/02/dining/catering-new-york-city-hotbox-lee-brothers.html,"Undercover and Overworked: Inside the New, Nerve-Racking World of Catering",2019/04/03,dining
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/02/dining/standard-grill-review.html,"The TV Chef Rocco DiSpirito Returns, With a Quieter Touch",2019/04/03,dining
https://www.nytimes.com/issue/todayspaper/2019/04/03/todays-new-york-times,/2019/04/02/sports/yankees-injuries-miguel-andujar.html,An Early Crush of Injuries Tests the Yankees’ Spring Optimism,2019/04/03,sports
https://www.nytimes.com/issue/todayspaper/2019/04/04/todays-new-york-times,/2019/04/03/us/politics/william-barr-mueller-report.html,Some on Mueller’s Team Say Report Was More Damaging Than Barr Revealed,2019/04/04,us
https://www.nytimes.com/issue/todayspaper/2019/04/04/todays-new-york-times,/2019/04/03/health/measles-outbreaks-ukraine-israel.html,Scientists Thought They Had Measles Cornered. They Were Wrong.,2019/04/04,health
https://www.nytimes.com/issue/todayspaper/2019/04/04/todays-new-york-times,/2019/04/03/us/politics/mar-a-lago-chinese-malware.html,Malware Arrest Exposes Security Gaps at Trump’s Mar-a-Lago Club,2019/04/04,us
https://www.nytimes.com/issue/todayspaper/2019/04/04/todays-new-york-times,/2019/04/03/us/alabama-prisons-doj-investigation.html,Alabama’s Gruesome Prisons: Report Finds Rape and Murder at All Hours,2019/04/04,us
https://www.nytimes.com/issue/todayspaper/2019/04/04/todays-new-york-times,/2019/04/03/us/politics/trump-republican-party.html,Trump’s Takeover of the Republican Party Is Almost Complete,2019/04/04,us
https://www.nytimes.com/issue/todayspaper/2019/04/04/todays-new-york-times,/2019/04/03/us/politics/joe-biden-women-video.html,"Joe Biden, in Video, Says He Will Be ‘More Mindful’ of Personal Space",2019/04/04,us
https://www.nytimes.com/issue/todayspaper/2019/04/04/todays-new-york-times,/2019/04/03/us/felicity-huffman-lori-loughlin-college-admissions-scandal.html,Felicity Huffman and Lori Loughlin Appear in Court as College Admissions Scandal Rewrites Lives,2019/04/04,us
https://www.nytimes.com/issue/todayspaper/2019/04/04/todays-new-york-times,/2019/04/03/us/lori-lightfoot-chicago.html,Lori Lightfoot Promised Change as Chicago Mayor. Now Comes the Hard Part.,2019/04/04,us
https://www.nytimes.com/issue/todayspaper/2019/04/04/todays-new-york-times,/2019/04/03/world/middleeast/sisi-egypt-soap-opera.html,Egypt’s Soap Opera Clampdown Extends el-Sisi’s Iron Grip to TV,2019/04/04,world
