date,link,titles,news_date,category
https://www.nytimes.com/issue/todayspaper/2019/06/02/todays-new-york-times,/2019/06/01/business/economy/trump-trade-tariffs-mexico-cost.html,"As Trade War Spreads to Mexico, Companies Lose a Safe Harbor",2019/06/02,business
https://www.nytimes.com/issue/todayspaper/2019/06/02/todays-new-york-times,/2019/05/30/world/asia/tiananmen-square-protest-photos.html,Photos of the Tiananmen Square Protests Through the Lens of a Student Witness,2019/06/02,world
https://www.nytimes.com/issue/todayspaper/2019/06/02/todays-new-york-times,/2019/06/01/us/politics/2020-democratic-primaries.html,"‘You Don’t Have to Be in Des Moines.’ Democrats Expand Primary Map, Spurred by Social Media.",2019/06/02,us
https://www.nytimes.com/issue/todayspaper/2019/06/02/todays-new-york-times,/2019/05/28/business/peter-max-dementia-cruise-ship-auctions.html,"Dementia Stopped Peter Max From Painting. For Some, That Spelled a Lucrative Opportunity.",2019/06/02,business
https://www.nytimes.com/issue/todayspaper/2019/06/02/todays-new-york-times,/2019/06/01/sports/french-open-naomi-osaka-serena-williams.html,2019 French Open: Serena Williams and Naomi Osaka Lose in the Third Round,2019/06/02,sports
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/06/02/us/politics/elaine-chao-china.html,"A ‘Bridge’ to China, and Her Family’s Business, in the Trump Cabinet",2019/06/03,us
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/06/02/business/trump-uruguay-punta-del-este.html,Inside a Flashy Trump Project in Uruguay: Cash Shortages and Mismanagement,2019/06/03,business
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/06/02/us/virginia-beach-dewayne-craddock.html,"Virginia Beach Gunman Said He Was Quitting, Then Went on a Shooting Rampage",2019/06/03,us
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/06/02/business/google-antitrust-investigation.html,Google and Amazon Are at the Center of a Storm Brewing Over Big Tech,2019/06/03,business
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/06/02/us/politics/california-primary-2020.html,California Is Now an ‘Early Primary State.’ Democrats Are Grappling With How to Compete.,2019/06/03,us
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/06/02/us/leah-chase-died.html,"Leah Chase, 96, Creole Chef Who Fed Presidents and Freedom Riders, Dies",2019/06/03,us
